course,unit,lesson,video_title,about,transcript
Computer programming,Intro to JS: Drawing & Animation,Intro to programming,What is Programming?,"Programming is the process of creating a set of instructions that tell a computer how to perform a task. Programming can be done using a variety of computer programming languages, such as JavaScript, Python, and C++.  Created by Pamela Fox.","Hi, welcome to programming! If you've never learned
to program before, you might be wondering
what programming actually is. Well, when we write a program, we're giving the computer
a series of commands that kind of look like
a weird form of English. You can think of a computer
as a very obedient dog, listening to your every command,
and doing whatever you tell it to do. So what's so cool about programming? Well, it really depends on
what you think is cool. Because as it turns out, you can
use programming for almost everything. Programs control robots
that can take care of patients, and my favorite,
robots that can roam around Mars and look for water on the surface. Programs help self-driving cars
know which way to turn-- which is pretty important! Programs help doctors cure diseases by
processing huge amounts of medical data. Programs can be really fun games,
like Doodle Jump, Angry Birds, Minecraft. Programs make it possible for Pixar to put out their awesome
3-D animated movies, and for movies like Harry Potter
to have such cool special effects. What's your favorite movie? I bet that a computer
helped make it somehow. Programs are behind
the websites and the apps that you use every day, all the time, like Google Maps, and
Wikipedia, and YouTube, and of course, where you are now,
Khan Academy. Here, on Khan Academy, you'll learn
how to write JavaScript programs to make drawings, animations, and games. And that will be a great start towards creating whatever
you're imagining in your head. I know, it might be hard to see
how a drawing program relates to programs for robots,
or curing diseases. But believe it or not,
the same basic concepts are used by pretty much
every programmer in every program. Once you learn to program JavaScript, you'll be able to learn other
programming languages much more easily. Now you just gotta keep going!"
Computer programming,Intro to JS: Drawing & Animation,Coloring,The Power of the Docs, Created by Pamela Fox.,"Voiceover: Ok so you've
made a few programs, you might be wondering how on earth am I
supposed to remember all of these commands is it oval or circle or
ellipse? Is it width and height,
or is it height and width? Do I have to memorize all
of this? Thankfully, no! That's what the computer is for. The thing
is, we always have a computer with us when we are programming, and a computer
is really good at remembering things, better than we are. So what
if we just had the computer
remember all the details for us, and we can just use it like
a dictionary for programming. Then we can focus on making cool programs, not memorizing a bunch of boring details. That's what we call documentation,
a document that explains how to program in a particular
language and environment, with examples and gotchas, so if we
can't remember the exact details, no worries - we can just look them up! You might think it's boring
to read documentation, and you are right - it is kind of boring,
it's a lot more fun to write code. But unless you want to memorize
absolutely everything (ugh!), you need to learn how to use documentation
or be able to code your ideas. Even great programmers don't
try to memorize everything. In fact, great programmers are usually
some of the best at reading documentation. For example, I'm drawing this smiley face, and I've already drawn the face
and the eyes using ellipse, a function I know pretty
well. But I have more work to. First, I want to draw the face with
thick outlines, like a sticker. I remember that has
something to do with stroke, but I don't remember exactly the name, so instead of sitting here
and trying to invent it, which could take hours (or infinity),
I'll just go to the documentation tab and look around and try and
find what I'm looking for. Umm, and I'll look under this coloring
category, cause that seems likely, and look at all the functions here, and then finally at the very
end, I find stroke weight to change the thickness
of lines and outlines. So here we see the function
name and the parameters - just one in this case. So
what I usually do is start off by just copying that code
and pasting it into my code. But I immediately get an error:
""thickness is not defined"". That's because thickness
is a placeholder parameter. It's not a real value, I
am meant to replace that with what I actually want it to be,
right, so that could be with a number or a variable that refers to a number, so
in this case I'll just put a number in. Say, ah, ok, perfect, 10's nice,
but we know we can fiddle with that and see. oh that's a little
extreme (laughs). that's too small. All right, so go back - 12. Cool! Now there is something really obvious
missing in my smily face: the smile. So I basically just want
something like this, right... And I can look at that
smile and think, well, doesn't look I'd draw by using
an ellipse, or line, or rect, cause it's got this curve to it,
but it doesn't have any inside. So I think, well, I should
check the docs and see if there is some other way
to draw a curve like this. So, to the docs machine we go! Scrolling down, scrolling
down, and looking around. So I'll check out the shapes category... Aha! The very first
entry in shapes is arc, which is used for drawing an arc,
which sounds kind of perfect, because that's what the smile is. So this one has a lot
more parameters in it. I'll start off by pasting this in here... And remember these are placeholder
parameters so we need to replace them with what we think they should be... All right, so x and y, so maybe x
and y is where i want it to begin, so we'll say, so our middle is
100 so maybe it will start at 150, and then y is maybe 250, and then width - width sounds like, you
know, the width of the arc, so probably a bit less than
width of the actual face. So maybe it's 200, and then the height... maybe that's the height from the
top of the arc to the bottom, so go, maybe that's 50. Start and stop... Hmm, I don't actually
know what those are... Ok, now I'm stuck, because I'm looking
at this function and trying to use it, but I don't really
understand these parameters. Well, luckily, what you can do
is just go back down to the docs and actually click on the function
that you are interested in, and it will bring up a program
that shows you how to use it, and actually explains the
parameters in a lot more detail. So by looking at this, it
says, ok, x is the x-coordinate of the center of the ellipse
derived from the ark. Okay, so basically it seems like to
draw an arc you kinda have to pretend you're drawing an ellipse,
but only part of it, and calculate everything based on that. So the x and y zap to the center of
that pretend ellipse we're making, the width and the height are the width
and height of that pretend ellipse, and start and stop - those
are the ones I didn't know. Start and stop is the angle...
ah! Ok, the start angle to
start the arc at, in degrees, and stop is where to stop it at, right. And we can actually look at
the examples they've done here, so drawing the arc from 1 to 270, that's
probably this guy over here, right, because 1 degree to 270 degrees,
that's what that would look like. Let's try and change it. There we go,
that makes sense, right, because 1 to 180, that's kind of what we want, right,
because we want our half arc... Ok, so now I think I understand
arc well enough to use it, and let's go back to my smiley... All right, so we're going
from 0 to 180, and... we've almost got it. My x amount
is off because I didn't realize that x is actually the
middle of the ellipse, and is a little bit wide, so
let's go make that smaller! Haha! I now have a real smiley face! Thanks to using the docs I was able
to do what I wanted much faster. And that's a goal of programming -
turn our ideas into reality faster. Remember - use the power of the docs!"
Computer programming,Intro to HTML/CSS: Making webpages,Intro to HTML,Welcome to the web!,n/a,"•Current transcript segment: 0:00- Welcome, let's talk about the web,•0:02the thing that you're using right now.•0:05The web is this fast network
of connected computers,•0:08and as of 2014, there
are literally more than•0:11a billion websites - a billion!•0:15When I was a kid, we only had one million,•0:17and we thought we were cool.•0:18What do we use websites for?•0:20Well in the beginning,
researchers used websites to share•0:23their research, like on
high-energy particle colliders.•0:26But now everybody uses it
for pretty much everything.•0:30Maybe you use a social network
to chat with your family,•0:33a photo website for sharing photos•0:35of your adorable kitty cats,•0:37a travel website to decide
where to go on an exotic trip,•0:40or a news website to figure out•0:41what's going on in the world.•0:44And of course, you must be using•0:45the Khan Academy website to learn.•0:48So what's your favorite website?•0:52Actually, I have a better question.•0:55What website do you wish
existed, but doesn't yet?•0:59Maybe a website about yourself•1:00or about something that you love?•1:03The cool thing is you can
program a website yourself,•1:06and you can learn how to
do it here on Khan Academy.•1:09Start brainstorming what you want to make•1:10because you'll be able
to do it soon enough.•1:14First, let's back up a bit
and clear up some terminology.•1:17What is the ""web,"" exactly?•1:20Well, like I said, it's a bunch of•1:22connected computers that have websites.•1:25When a computer is connected to the web•1:26and spitting out a website, we
call that computer a ""server""•1:30because it's ""serving"" the website.•1:34A website is written
using three languages:•1:36HTML, for marking up the website content;•1:39CSS, for styling it;•1:42and JavaScript, for making it interactive.•1:46How do users like you
actually see those websites?•1:50Well you use an app dedicated
for website browsing,•1:53like Chrome, Firefox,
or Internet Explorer,•1:56and we call those apps ""browsers.""•1:59Browsers try to all show the
same website the same way,•2:01but they do have their
differences, which is why•2:03we sometimes say, ""Oops,
there's a bug in that browser.•2:06""Try another one.""•2:08Which browser are you using right now?•2:12Well you must be using that browser•2:13from some sort of device, like a laptop,•2:15phone, tablet, or even a smart TV,•2:18and we call those devices ""clients.""•2:21Clients can be really different.•2:23Some are way smaller than others,•2:25some have touchscreens,
others have keyboards,•2:27some are black and white.•2:29So websites have to try to work well•2:32in all sorts of clients.•2:34What client are you using right now?•2:36And that's the web.•2:37Well, the two-minute version.•2:39There's lots more to learn about the web,•2:41but now I think it's about
time to start having you write•2:43some HTML and CSS to
make your own web pages."
Computer programming,Intro to HTML/CSS: Making webpages,CSS text properties,CSS Zen Garden,n/a,"•Current transcript segment: 0:00- Now that you've seen a ton of HTML text,•0:02the whole rest of this course
is going to be about CSS,•0:05and everything you can do with CSS.•0:07To get you excited and get you to stay on,•0:10I want to show you one
of the best examples•0:12of everything you can do.•0:14And that's a site called csszengarden.com.•0:18And you can check it
out for yourself after.•0:20CSS Zen Garden is a simple site
with heading and background•0:23and text and all that stuff.•0:25But the thing that's cool about it•0:27is that it's a gallery
of designs of people•0:31that take the exact same
HTML and only change the CSS•0:37to see how much they can
change with just CSS.•0:42Let me show you.•0:44Here's another one.•0:45Remember, this is the exact same HTML•0:49that you saw in the previous page.•0:51The only difference is CSS.•0:55Here's another one.•0:56So not only do the colors change,•0:58but things get laid out on
the page in a different order.•1:02And this one makes it really different,•1:04so now it looks like this
cityscape with this title•1:07that comes down here, and
there's credits over here,•1:11and oh my things are animating,
and all of this is just CSS.•1:16Maybe it's not CSS that you know yet,•1:19but if you keep going,•1:20all of this will be
available at your fingertips.•1:23If you put in enough work,•1:24you'll be able to make beautiful websites•1:26that look exactly how
you want them to look.•1:29Keep going."
Computer programming,Intro to HTML/CSS: Making webpages,CSS layout,CSS in the wild: Google Maps,n/a,"•Current transcript segment: 0:01- Let me show you an
example of CSS position•0:03in z-index in the wild; Google Maps.•0:07Probably, most of you
have used Google Maps•0:09or some sort of online
mapping service before,•0:11to help you find what you're looking for.•0:14These things are just really cool.•0:17We can browse around, we can zoom in,•0:19we can zoom out, and
we can look for things.•0:23So, since I'm in Barcelona right now,•0:25I'll look for Sagrada Familia,•0:27which is this beautiful church.•0:31This is actually HTML CSS and JavaScript.•0:35Let me show you all the
z-index that's going on here.•0:38So all the different elements that we see,•0:40these have all been positioned•0:42using CSS to be on top of each other•0:45and they're using z-index
in a very particular way•0:48to make sure that the
order is exactly correct.•0:52So, let me just use my Chrome console•0:56to show you a few things.•1:01This mini map here, in the corner,•1:03has position absolute,
bottom zero, left zero•1:07and a z-index of one.•1:09So, that should put it above something•1:11with a z-index of zero.•1:14This Hovercard that shows up,•1:15and has all these options here,•1:18it has vision fixed, and
then a z-index of 10.•1:22So, it shows up on top of a lot of things.•1:27The zoom button has a z-index of two,•1:30so that should mean that it ends up•1:31underneath the Hovercard.•1:33Let's just move this over here•1:38and see what happens.•1:39See, the Hovercard that shows up,•1:41shows up above that zoom,
because it has a z-index of four•1:45and the zoom has a z-index of two.•1:50As you can see, Google Maps uses a lot•1:53of CSS position and
z-index in order to lay out•1:55all the map and controls on top of it.•1:57It does use a lot of other
CSS and JavaScript as well,•2:01but it's pretty neat
that now you can start•2:04to understand how other websites•2:05are built that look nothing like the ones•2:08that we've been showing so far.•2:10That's the power of CSS."
Computer programming,Intro to HTML/CSS: Making webpages,Further learning,HTML validation,Learn how to validate your webpages with the W3C validator service. ,"- [Voiceover] On Khan Academy, we pop up the oh noes guide to tell you when there's something wrong with your webpage. But we only tell you about the big things. There could be other things wrong with your webpage too, things that aren't quite right according to
the HTML specification. But the browsers let you get away with it because browsers like
to be really forgiving. They just want to make it work. So then you end up not knowing that there's something
wrong with your webpage. That's why it's a good idea to run your webpage through the
W3 validation service. That will actually check and tell you if your page is valid and if there's something not quite right about it. To do that, go to validator.w3.org. It'll give you options to enter a URL, upload a file, or just copy and paste. That's what I'll do. I'll take the most recent webpage that I was showing in a talk through and paste it in here and then check. Ta-da! It was successfully checked as HTML 5 and there were no issues with it. Fantastic. Let's try one more. This is our HTML internal links example. I want to paste this in here and check. Uh-oh, there was one error, two warnings. Let's go down. It says that an image element must have an alt attribute. Uh-oh, this is a classic thing to forget is that alt attribute. We see the images, but not everybody does. So what I should do is
go back into that HTML and add the alt attribute. So let's say the image was here, alt equals photo of Tim Berners-Lee next to computer and let me copy and go back up, paste. I will re-validate. Ta-da! It's valid HTML. When possible, you should be trying to make webpages that are valid HTML because that way you can have a lot more confidence that the browser is going to interpret them exactly like you expect all the time. Now go try and validate
a few of your pages and see how they turn out."
Computer programming,Intro to SQL: Querying and managing data,SQL basics,Welcome to SQL,SQL is useful for creating and querying relational databases. Learn how to use SQL with this interactive course!  ,"- [Instructor] The world is full of data. Every app that you use is full of data. On Khan Academy, we store data about users and badges and progress. On Facebook they store
data about who you are, who your friends are,
and what they're posting. On Bank of America they store
data about how much money you have and what accounts that's in. How do these apps store data? Well, they use a database
which is a program that helps store data and
provides functionality for adding, modifying,
and querying that data, and doing that all fast. Databases come in many forms,
but a really popular type of database is called
a relational database. It stores each kind of data in a table, which is kind of like storing
data in a spreadsheet. A row represents an item, and a column represents
properties about that item. For example, to store data
about Khan Academy users, we'd have a users table with a
row for each user and columns for properties like their
nickname and location. Relational databases
make it particularly easy to form relationships between tables. For example, in order to
store Khan Academy users and their badges, we
might have a users table and a badges table, and
then a user badges table to remember which users
earned which badges, just by mapping user IDs to badge IDs. That's a more efficient
form of storage than having to repeat everything about the user and everything about the badge
in the user badges table. Most database come with a
query language to interact with the database. SQL is a language designed
entirely for accessing databases and is the most popular of them. With SQL, we can create
tables, change data, get back the data we're interested in. Like if we wanna find
out which users joined in the last week or which
users have a particular badge. That's what we're going to teach here. And you'll actually get to try
out SQL here in the browser using SQL Lite, a particular
implementation of it. You won't be able to
write the whole app here, but when you're done learning SQL, you'll have a much better understanding of how data is stored
in the apps that you use and be able to use SQL
if you ever build an app."
Computer programming,Intro to SQL: Querying and managing data,SQL basics,S-Q-L or SEQUEL?,How is it pronounced? Why? Let's discuss... ,"At this point, you've probably heard me
pronounce SQL two ways-- sequel or S-Q-L. Some of you might even be mad that I'm pronouncing it
one way or the other, and you may have
very good reason for believing that your favorite pronunciation
is the correct one. So what's the deal? Well, SQL was originally invented
at IBM in the early 1970s. And the first version
was called SEQUEL, and it stood for
Structured English QUEry Language. That acronym, SEQUEL,
was later changed to SQL, because SEQUEL was already
trademarked by an airplane company, and companies really don't like
getting into trademark lawsuits. Nowadays, many of us still
pronounce it sequel, because it's shorter to say, and we've got historical reasons
to claim that it's the right way. However, when I surveyed
developers across the world, I found that in non-English languages,
many of them pronounce it S-Q-L, or, for example,
ese cu ele in Spanish. Since our videos get translated
here on Khan Academy, I figured I'd make it easier for translators to match
the pace of our videos, by pronouncing SQL the long way. But in everyday life,
I'm used to calling it sequel, so both of them come out of me. Now you know,
it can be S-Q-L or sequel, and you'll probably hear both
the rest of your life. The world is a messy place, but at least you now have a way of
structuring your queries about it, right?"
Computer programming,Advanced JS: Games & Visualizations,Intro to Games & Visualizations,Intro to Games and Visualizations, Created by Pamela Fox.,"Voiceover: Congratulations! You now understand the
JavaScript language. Variables, loops, strings,
functions, objects, arrays, even object-oriented design. But what good is a language if you can't make something cool with it? There are lots of ways you can use your new knowledge, but one of the most popular ways to use JavaScript with Processing.js is to make games and visualizations, which you probably know,
if you've ever looked at our hot programs list. A game is something interactive, where you get some reward. There is usually a win
state, a lose state, a score. A visualization is also
highly interactive, but without the game mechanics. Let's look at some of the common components we'll need. We'll need UI controls
for anything we're doing. Like buttons, and sliders, and menus. And some of these will be simple buttons, other times we'll need multiple buttons, other times we'll need
sliders, and drop-downs, and it all builds upon the same
basic principles, though. Besides interaction with
a mouse, we'll also want keyboard control, like
being able to use the arrows to move our characters up and down, or to change the angle of our visualization. We often also want the notion of scenes. A scene is like your
start screen, and your options screen, and your main screen, and your end screen. And they're usually very different, and at any given point
we want to be showing one of them or the other,
so you have to really organize your code in order to know the difference between
the scenes, and have a good way of switching between them. And now let's talk about a few things specific to games. The environment of a game. Is it a side-scroller,
which means it's kinda a character moving
forward through a space? Is it a bird's eye view, like going through a maze? Is it a 3D environment? It's crazy, but you can do it. Are there multiple levels, and each of them have different environments? What are the characters in the game? They'll probably have different behaviors, and emotions, and states, like a happy state and a dead state. And they'll might be user controlled or sometimes they'll be
programatically controlled. And your program gives it some sort of logic to follow. There could be one of them, there could be lots of them. They could get spawned during the game as it's played. Now once we've got characters in an environment, we usually
also add in some items, and then we have a lot of things
colliding with each other. And we usually want to
know when things collide, because things are typically trying to attract each other, or avoid each other, like when you're picking up gems, or avoiding nasty turtles. So we need to be able to detect collision between objects, and
sometimes it's very simple collision, and other
times it's more complex if the objects are all
different shapes and sizes. Finally, if it's a game,
it's usually got a score. So how do you measure how
well the user is doing? When do you tell them
if they've lost or won? How spectacular can you make the win screen or the lose screen? So, as you can see, there
are a lot of aspects to think about when making
games and visualizations. We'll walk through some of them here, but we don't know what's in your head, and most likely, you'll
have to just combine the knowledge you learned here to make whatever really cool thing
is in your head right now."
Computer programming,Advanced JS: Natural Simulations,Intro to Natural Simulations,Welcome to Natural Simulations, Created by Pamela Fox.,"Voiceover: The world is a beautiful place. Sometimes we walk outside
and just revel in it, but other times, because we're programmers and we like to program everything, we walk outside, get inspired by it and then run home to program a simulation of the world around us. Be it's a leaf falling,
spinning to the ground or maybe it's a fire
burning in a dry forest. We can program simulations
of all those things and we can do it here on Khan Academy using JavaScript, ProcessingJS,
and a bit of math. In this course on natural simulations, we'll think about how and why things work the way they do in the real world, and then figure out how we
can translate into code. We'll make many simple [cases] because the real world
is filled with complexity and we don't always need
to model that complexity in order to achieve a
[machine] simulation. Of course our computers
can only handle so much. Whenever a programmer simulates nature we'll always have to fall
short of a 100% copy. Hey, I think you'll be really impressed with what we can do,
especially in the browser. We'll start off by
talking about randomness. A technique you've probably already used in your programs. Then noise, a more
sophisticated form of that. We can use those to
model motion of objects in the world, like
somebody lost in the woods but most objects don't move randomly. Next we'll introduce vectors and forces, which you might have
covered in physics class and figure out how to programmatically apply forces or objects
so they can accelerate. Based on being pushed,
and pulled, and repelled by everything around them. To make it so our objects
can spin on their own axis while they're moving, we'll brush up on trigonometry and come up with formulas
for angle acceleration. We can also use
trigonometry to model things like pendulums and waves, which can really get pretty hypnotic. Finally, we'll create particle systems. Many objects moving together according to their own properties and the systems properties. That will let us model a natural phenomena like water, fire, smoke. Okay, so doesn't that sound awesome? Are you pumped? Are you throwing confetti in the air thinking about how soon you'll be able to program that confetti? I know the feeling and you're
almost ready to dive in. First we want to give a huge
shout out to Daniel Shiffman. Daniel's an NYU professor
that teaches a course on natural simulations. He wrote NatureofCode.com, a whole book about it. Since he CC licensed that book we were able to put it over to JavaScript and bring it over here on Khan Academy, so that all of you can learn it here. Plus do coding challenges along the way. Without Daniel's book, we wouldn't have this exciting course. Now, ready, set, simulate!"
